column,non_null,coverage,n_unique
ReviewID,13023,1.0,1904
s_Publication_Date,13023,1.0,66
s_Study_Page_URL,13023,1.0,1601
s_interventionID,13023,1.0,1035
f_FindingID,13023,1.0,13023
f_Protocol,13023,1.0,43
f_InterventionID,13023,1.0,1035
f_Intervention_Name,13023,1.0,1034
f_Outcome_MeasureID,13023,1.0,5423
f_Outcome_Measure,13023,1.0,5110
f_Outcome_Domain,13023,1.0,199
f_Sample_Description,13023,1.0,2460
f_Is_Subgroup,13023,1.0,2
f_L1_Unit_of_Analysis,13023,1.0,7
state_tokens,13023,1.0,227
state_specific_available,13023,1.0,2
state_specific_count,13023,1.0,19
urbanicity_available,13023,1.0,2
school_type_available,13023,1.0,2
grade_flag_count,13023,1.0,15
topic_flag_count,13023,1.0,7
s_Purpose_of_Review,13023,1.0,9
demographic_signal_available,13023,1.0,2
s_Study_Rating,13023,1.0,4
s_Standards_Version,13023,1.0,7
s_Intervention_Name,13023,1.0,1034
s_Protocol_Version,13023,1.0,11
s_Protocol,13023,1.0,43
s_Citation,13023,1.0,1557
s_StudyID,13023,1.0,1601
f_Outcome_Sample_Size,13015,0.9993857022191507,2461
s_Study_Design,13011,0.9990785533287261,5
f_Is_Statistically_Significant,12905,0.9909391077324733,2
f_Outcome_Comparison_SS,12892,0.9899408738385933,1751
f_Outcome_Intervention_SS,12892,0.9899408738385933,1832
s_Grade,12750,0.9790370882285188,15
s_Delivery_Method,12679,0.9735851954234815,4
s_Publication,12434,0.9547723258849727,1141
f_Improvement_Index,12190,0.9360362435690701,94
s_Topic,12110,0.9298932657605774,95
f_p_Value_WWC,12025,0.923366351839054,10651
f_Period,11663,0.8955693772556247,371
f_Comparison,11240,0.8630883820932197,4961
f_Comparison_Mean,11240,0.8630883820932197,4961
f_Intervention_Mean,11142,0.8555632342778162,5913
f_Intervention_Clusters_SS,10883,0.8356753436228211,1093
f_Comparison_Clusters_SS,10833,0.8318359824925132,1035
s_Race,10724,0.823466175228442,6
f_Effect_Size_WWC,10553,0.810335560162789,9756
s_Region_State,10534,0.8088766029332719,302
f_Finding_Rating,10259,0.7877601167165783,2
s_Gender_Male,9670,0.7425324426015512,309
s_ERICId,9630,0.7394609536973048,987
s_Gender,9595,0.7367734009060892,2
s_Gender_Female,9572,0.7350072947861476,314
s_Rating_Reason,9482,0.7280964447515933,25
s_Race_Black,9083,0.6974583429317361,395
s_Multisite,9016,0.6923135990171235,2
s_Ethnicity_Hispanic,8922,0.6850956000921447,349
s_Urbanicity,8715,0.6692006450126698,7
s_Ethnicity,8611,0.6612147738616294,2
s_Race_White,8414,0.6460876910082163,394
s_Program_Type,8401,0.6450894571143362,29
s_Posting_Date,8397,0.6447823082239116,519
f_Comparison_Standard_Deviation,8270,0.6350303309529294,2949
f_Intervention_Standard_Deviation,8246,0.6331874376103817,2966
s_Ethnicity_Not_Hispanic,8229,0.631882054826077,325
s_Race_Other,8184,0.6284266298087998,368
f_Effect_Size_Study,7647,0.5871918912692928,843
s_Urbanicity_Urban,7645,0.5870383168240805,3
s_School_type_Public,7090,0.5444214082776626,3
s_School_type,7072,0.5430392382707517,10
f_p_Value_Study,5973,0.45865008062658374,1059
s_Class_type,5961,0.4577286339553098,2
s_Class_type_General,5789,0.4445212316670506,3
s_Topic_Literacy,5538,0.42524763879290484,1
s_Topic_K_to_12th_Grade,5184,0.3980649619903248,1
s_Demographics_Sample_ELL,5122,0.393304154188743,188
s_Delivery_Method_Individual,4921,0.3778699224449052,4
s_Demographics_Sample_FRPL,4200,0.322506334945865,183
s_Delivery_Method_Whole_Class,3876,0.2976272748214697,3
s_Race_Asian,3757,0.2884895953313369,154
s_Topic_STEM,3613,0.27743223527605004,1
s_Region_State_South,3484,0.26752668355985565,2
s_ProductID,3424,0.2629194502034861,216
s_Product_Name,3424,0.2629194502034861,217
s_Delivery_Method_Small_Group,3253,0.24978883513783307,2
s_Program_Type_Practice,3126,0.24003685786685094,1
i_Intervention_Page_URL,3058,0.23481532672963218,186
i_Protocol_Version,3058,0.23481532672963218,10
i_Sample_Size_Intervention,3058,0.23481532672963218,337
i_InterventionID,3058,0.23481532672963218,186
i_Outcome_Domain,3058,0.23481532672963218,73
i_Intervention_Name,3058,0.23481532672963218,186
i_Protocol,3058,0.23481532672963218,25
i_NumStudiesMeetingStandards,3058,0.23481532672963218,10
i_NumStudiesEligible,3058,0.23481532672963218,11
i_Effectiveness_Rating,3054,0.23450817783920755,6
s_Disability_IEP,2972,0.22821162558550256,97
s_Topic_Postsecondary,2918,0.22406511556477002,1
s_Urbanicity_Suburban,2874,0.22068647777009906,1
s_Grade_5,2808,0.2156185210780926,1
s_Grade_4,2793,0.21446671273900023,1
s_Grade_PS,2760,0.211932734392997,1
i_Gender_Female,2752,0.21131843661214775,113
i_Gender_Male,2752,0.21131843661214775,116
i_Gender,2746,0.2108577132765108,2
s_Program_Type_Supplement,2736,0.2100898410504492,2
i_Race,2734,0.2099362666052369,4
i_Race_Black,2683,0.2060201182523228,121
s_Grade_6,2652,0.20363971435153191,1
s_Grade_7,2577,0.19788067265607004,1
s_Region_State_West,2576,0.19780388543346386,2
i_Race_White,2549,0.1957306304230976,116
s_Delivery_Method_School,2535,0.19465560930661138,1
s_Urbanicity_Rural,2528,0.19411809874836827,1
i_Ethnicity_Hispanic,2496,0.1916609076249712,111
i_Ethnicity,2438,0.18720724871381403,1
s_Grade_8,2428,0.18643937648775244,2
s_Topic_High_School_Completion,2371,0.1820625047992014,1
s_Region_State_Northeast,2304,0.1769177608845888,1
s_Topic_Social_Emotional_Learning_And_Behavior,2302,0.1767641864393765,1
s_Grade_9,2283,0.17530522920985947,1
s_Grade_3,2250,0.17277125086385625,1
s_Grade_1,2202,0.16908546417876066,2
s_Disability_ASD,2196,0.1686247408431237,18
s_Region_State_Midwest,2188,0.16801044306227444,1
f_ESSA_Rating,2097,0.16102280580511402,3
s_Disability,2092,0.16063886969208324,2
s_Program_Type_Curriculum,2044,0.15695308300698763,1
s_Grade_11,2044,0.15695308300698763,1
s_Grade_12,1997,0.1533440835444982,1
s_Grade_2,1996,0.15326729632189204,1
i_Demographics_Sample_FRPL,1951,0.1498118713046149,69
f_ICC,1831,0.14059740459187592,64
s_Grade_10,1812,0.1391384473623589,1
s_Region_State_Texas,1812,0.1391384473623589,1
s_Region_State_California,1796,0.13790985180066037,1
i_Demographics_Sample_ELL,1757,0.1349151501190202,52
s_Region_State_New_York,1735,0.13322583122168472,1
i_Delivery_Method,1600,0.12285955616985333,9
i_Grade,1600,0.12285955616985333,61
s_Grade_K,1595,0.12247562005682254,2
i_Region_State,1582,0.12147738616294249,95
s_Grade_PK,1527,0.11725408891960377,1
i_Urbanicity,1412,0.10842355831989557,7
i_Race_Asian,1314,0.10089841050449205,51
i_Urbanicity_Urban,1267,0.09728941104200262,1
s_Race_Native_American,1095,0.08408200875374337,60
i_School_type,1085,0.0833141365276818,5
i_School_type_Public,1077,0.08269983874683252,1
s_Program_Type_School_level,1067,0.08193196652077095,1
s_Region_State_Pennsylvania,1066,0.08185517929816478,1
i_Region_State_South,1037,0.0796283498425862,1
s_Region_State_North_Carolina,955,0.07333179758888121,1
f_FavorableUnfavorableDesignation,904,0.06941564923596713,3
s_Topic_Early_Childhood,895,0.0687245642325117,1
i_Region_State_West,880,0.06757275589341934,1
s_Region_State_Illinois,769,0.05904937418413576,1
s_Topic_SWD,765,0.05874222529371113,1
s_Region_State_Florida,731,0.056131459725101744,1
s_Region_State_Massachusetts,720,0.055286800276434005,1
i_Region_State_Midwest,700,0.053751055824310834,1
i_Delivery_Method_Individual,696,0.053443906933886204,1
s_Topic_Teachers_And_School_Leaders,675,0.051831375259156875,1
s_Region_State_DC,651,0.049988481916609075,1
i_Region_State_Northeast,641,0.04922060969054749,1
s_Region_State_Ohio,613,0.04707056745757506,1
s_Region_State_Georgia,606,0.04653305689933195,2
i_Delivery_Method_Whole_Class,594,0.04561161022805805,1
i_Urbanicity_Rural,578,0.044383014666359515,1
i_Delivery_Method_Small_Group,571,0.04384550410811641,1
i_Race_Native_American,531,0.04077401520387008,19
s_Region_State_Tennessee,516,0.0396222068647777,1
s_Region_State_Washington,505,0.03877754741610996,1
s_Program_Type_Teacher_level,502,0.03854718574829148,1
i_Grade_PK,499,0.03831682408047301,1
i_Urbanicity_Suburban,478,0.03670429240574368,1
s_Region_State_Maryland,469,0.03601320740228826,1
i_Grade_1,467,0.03585963295707594,1
s_Program_Type_Policy,455,0.034938186285802045,1
s_Class_type_Inclusion,452,0.034707824617983565,1
s_School_type_Charter,448,0.034400675727558935,1
i_Grade_K,443,0.03401673961452814,1
s_Region_State_Michigan,434,0.033325654611072716,1
s_Region_State_Oregon,432,0.0331720801658604,1
i_Region_State_California,422,0.03240420793979882,1
i_Region_State_Florida,415,0.03186669738155571,1
i_Grade_5,404,0.031022037932887967,1
s_Region_State_Louisiana,401,0.03079167626506949,1
i_Grade_3,391,0.03002380403900791,1
i_Grade_4,390,0.02994701681640175,1
i_Grade_2,384,0.0294862934807648,1
s_Region_State_Minnesota,372,0.0285648468094909,1
s_Topic_ELL,366,0.02810412347385395,1
i_Region_State_Texas,364,0.027950549028641632,1
s_Region_State_Kentucky,362,0.027796974583429317,1
s_Region_State_Colorado,353,0.027105889579973893,1
s_Region_State_Wisconsin,336,0.0258005067956692,1
s_Region_State_Oklahoma,331,0.02541657068263841,1
i_Grade_6,319,0.02449512401136451,1
s_Region_State_New_Jersey,319,0.02449512401136451,1
s_Region_State_Missouri,295,0.02265223066881671,1
s_Region_State_Indiana,286,0.021961145665361285,1
s_Region_State_South_Carolina,278,0.021346847884512018,1
s_Race_Pacific_Islander,260,0.019964677877601165,21
s_Region_State_New_Mexico,255,0.019580741764570374,2
s_Region_State_Arkansas,254,0.019503954541964217,1
s_Region_State_Kansas,233,0.017891422867234892,1
s_Region_State_Virginia,228,0.0175074867542041,1
i_Region_State_Maryland,214,0.016432465637717882,1
s_Region_State_Mississippi,214,0.016432465637717882,1
i_Region_State_New_York,201,0.015434231743837826,1
