f_FindingID,s_StudyID,state_abbr,region_name,analysis_year,saipe_child_poverty_rate_state,saipe_median_income_state,saipe_child_poverty_rate_region,saipe_median_income_region,saipe_child_poverty_rate_ctx,saipe_median_income_ctx
1650,80933,FL,South,2001,0.188,37319.0,0.19682352941176467,38579.117647058825,0.188,37319.0
1651,80933,FL,South,2001,0.188,37319.0,0.19682352941176467,38579.117647058825,0.188,37319.0
1652,80933,FL,South,2001,0.188,37319.0,0.19682352941176467,38579.117647058825,0.188,37319.0
1653,80933,FL,South,2001,0.188,37319.0,0.19682352941176467,38579.117647058825,0.188,37319.0
1654,80933,FL,South,2001,0.188,37319.0,0.19682352941176467,38579.117647058825,0.188,37319.0
1655,80933,FL,South,2001,0.188,37319.0,0.19682352941176467,38579.117647058825,0.188,37319.0
1656,80933,FL,South,2001,0.188,37319.0,0.19682352941176467,38579.117647058825,0.188,37319.0
1657,80933,FL,South,2001,0.188,37319.0,0.19682352941176467,38579.117647058825,0.188,37319.0
1662,80933,FL,South,2001,0.188,37319.0,0.19682352941176467,38579.117647058825,0.188,37319.0
1663,80933,FL,South,2001,0.188,37319.0,0.19682352941176467,38579.117647058825,0.188,37319.0
1671,80933,FL,South,2001,0.188,37319.0,0.19682352941176467,38579.117647058825,0.188,37319.0
1659,80933,FL,South,2001,0.188,37319.0,0.19682352941176467,38579.117647058825,0.188,37319.0
1660,80933,FL,South,2001,0.188,37319.0,0.19682352941176467,38579.117647058825,0.188,37319.0
1665,80933,FL,South,2001,0.188,37319.0,0.19682352941176467,38579.117647058825,0.188,37319.0
1484,10089,WA,West,2006,0.155,52571.0,0.16407692307692306,49992.153846153844,0.155,52571.0
2061,10089,WA,West,2006,0.155,52571.0,0.16407692307692306,49992.153846153844,0.155,52571.0
4633,10089,WA,West,2006,0.155,52571.0,0.16407692307692306,49992.153846153844,0.155,52571.0
1511,77549,CA,West,1995,0.243,36767.0,0.17915384615384614,34882.153846153844,0.243,36767.0
1513,10450,CA,West,1993,0.264,34128.0,0.1910769230769231,32032.30769230769,0.264,34128.0
1514,10450,CA,West,1993,0.264,34128.0,0.1910769230769231,32032.30769230769,0.264,34128.0
1516,10450,CA,West,1993,0.264,34128.0,0.1910769230769231,32032.30769230769,0.264,34128.0
1496,82115,,,2009,,,,,,
2941,77508,CA,West,2006,0.181,56646.0,0.16407692307692306,49992.153846153844,0.181,56646.0
2942,77508,CA,West,2006,0.181,56646.0,0.16407692307692306,49992.153846153844,0.181,56646.0
2943,77508,CA,West,2006,0.181,56646.0,0.16407692307692306,49992.153846153844,0.181,56646.0
1427,77508,CA,West,2006,0.181,56646.0,0.16407692307692306,49992.153846153844,0.181,56646.0
1428,77508,CA,West,2006,0.181,56646.0,0.16407692307692306,49992.153846153844,0.181,56646.0
1429,77508,CA,West,2006,0.181,56646.0,0.16407692307692306,49992.153846153844,0.181,56646.0
1430,77508,CA,West,2006,0.181,56646.0,0.16407692307692306,49992.153846153844,0.181,56646.0
1431,77508,CA,West,2006,0.181,56646.0,0.16407692307692306,49992.153846153844,0.181,56646.0
1435,78751,TX,South,2004,0.2269999999999999,41645.0,0.20682352941176468,41080.17647058824,0.2269999999999999,41645.0
1436,78751,TX,South,2004,0.2269999999999999,41645.0,0.20682352941176468,41080.17647058824,0.2269999999999999,41645.0
1437,78751,TX,South,2004,0.2269999999999999,41645.0,0.20682352941176468,41080.17647058824,0.2269999999999999,41645.0
447,74234,TX,South,2006,0.238,44943.0,0.21705882352941175,44153.529411764706,0.238,44943.0
440,74234,TX,South,2006,0.238,44943.0,0.21705882352941175,44153.529411764706,0.238,44943.0
441,74234,TX,South,2006,0.238,44943.0,0.21705882352941175,44153.529411764706,0.238,44943.0
442,74234,TX,South,2006,0.238,44943.0,0.21705882352941175,44153.529411764706,0.238,44943.0
443,74234,TX,South,2006,0.238,44943.0,0.21705882352941175,44153.529411764706,0.238,44943.0
433,22261,,Northeast,2005,,,0.14388888888888884,52103.88888888889,0.14388888888888884,52103.88888888889
434,22261,,Northeast,2005,,,0.14388888888888884,52103.88888888889,0.14388888888888884,52103.88888888889
435,22261,,Northeast,2005,,,0.14388888888888884,52103.88888888889,0.14388888888888884,52103.88888888889
1618,23115,CO,West,2008,0.144,57184.0,0.1583846153846154,54977.230769230766,0.144,57184.0
1615,23115,CO,West,2008,0.144,57184.0,0.1583846153846154,54977.230769230766,0.144,57184.0
1616,23115,CO,West,2008,0.144,57184.0,0.1583846153846154,54977.230769230766,0.144,57184.0
1577,23962,WA,West,1996,0.1669999999999999,37847.0,0.18284615384615382,35887.692307692305,0.1669999999999999,37847.0
1578,23962,WA,West,1996,0.1669999999999999,37847.0,0.18284615384615382,35887.692307692305,0.1669999999999999,37847.0
1579,23962,WA,West,1996,0.1669999999999999,37847.0,0.18284615384615382,35887.692307692305,0.1669999999999999,37847.0
1580,23962,WA,West,1996,0.1669999999999999,37847.0,0.18284615384615382,35887.692307692305,0.1669999999999999,37847.0
1584,23962,WA,West,1996,0.1669999999999999,37847.0,0.18284615384615382,35887.692307692305,0.1669999999999999,37847.0
1585,23962,WA,West,1996,0.1669999999999999,37847.0,0.18284615384615382,35887.692307692305,0.1669999999999999,37847.0
1588,23961,,West,1999,,,0.16099999999999998,40877.53846153846,0.16099999999999998,40877.53846153846
1589,23961,,West,1999,,,0.16099999999999998,40877.53846153846,0.16099999999999998,40877.53846153846
1590,23961,,West,1999,,,0.16099999999999998,40877.53846153846,0.16099999999999998,40877.53846153846
1591,23961,,West,1999,,,0.16099999999999998,40877.53846153846,0.16099999999999998,40877.53846153846
1592,23961,,West,1999,,,0.16099999999999998,40877.53846153846,0.16099999999999998,40877.53846153846
848,78024,NJ,Northeast,2008,0.123,70347.0,0.14166666666666666,58550.444444444445,0.123,70347.0
850,78024,NJ,Northeast,2008,0.123,70347.0,0.14166666666666666,58550.444444444445,0.123,70347.0
842,78024,NJ,Northeast,2008,0.123,70347.0,0.14166666666666666,58550.444444444445,0.123,70347.0
843,78024,NJ,Northeast,2008,0.123,70347.0,0.14166666666666666,58550.444444444445,0.123,70347.0
845,78024,NJ,Northeast,2008,0.123,70347.0,0.14166666666666666,58550.444444444445,0.123,70347.0
846,78024,NJ,Northeast,2008,0.123,70347.0,0.14166666666666666,58550.444444444445,0.123,70347.0
1529,29243,NJ,Northeast,2008,0.123,70347.0,0.14166666666666666,58550.444444444445,0.123,70347.0
1530,29243,NJ,Northeast,2008,0.123,70347.0,0.14166666666666666,58550.444444444445,0.123,70347.0
