state_combo,findings_n,studies_n,interventions_n,mean_effect_size_wwc,median_effect_size_wwc,pct_positive_effect_size,mean_improvement_index
AR | CA | DC | GA | IL | MA | NY | OK | PA | TX,176,1,0,,,,8.823863636363637
NC | NM | TX,125,3,1,0.042054247536893484,0.0443644767763776,64.0,1.696
CA | CO | DC | GA | IA | IL | KS | KY | LA | MA | ME | MI | MN | MO | MS | NC | NJ | NY | OH | OK | OR | PA | SC | WA | WI | WV,118,1,0,0.18732667746261944,0.150411896651839,69.3069306930693,7.0495049504950495
NY | OH,82,1,0,0.3486306938799099,0.1716586466538855,71.95121951219512,8.512195121951219
CA | DC | FL | MD | PA | TX,76,3,1,0.041545788936305644,0.0441082744963002,72.72727272727273,1.676923076923077
CA | NC | PA,65,2,0,0.014105684972984906,0.0124730793611092,56.36363636363636,0.5454545454545454
TN | TX,57,11,0,0.44154124838379327,0.498034904068353,94.73684210526315,16.54385964912281
CT | FL | KY | MN | MO | MS | NV | NY | SC | TX,45,3,4,0.03258924117418137,0.0197016424928784,57.57575757575758,0.13333333333333333
CA | NY,45,7,1,-0.012731167272358504,0.104424850921394,83.87096774193549,6.204545454545454
GA | MA,41,2,1,0.06652589711733413,0.12783138924898851,80.0,3.024390243902439
IN | KY,40,3,0,0.2599721556369211,0.2574913122692445,90.0,10.025
IL | KS | KY | LA,36,1,1,0.23132327298140756,0.2374641718056095,80.0,8.85
IN | MN,36,1,0,0.07192800117862337,0.1145390379742405,81.25,2.875
CA | CO | IL | MN | NM | TX,35,2,0,-0.23381274987170028,-0.215780127339881,5.714285714285714,-10.971428571428572
DC | VA,34,2,0,-0.05623210272959903,-0.0610439007360644,0.0,-0.41935483870967744
GA | NY,34,1,1,0.3231532575010971,0.24895804886850098,97.05882352941177,11.911764705882353
DE | NE | PA | VA | WA,33,1,0,0.13139845902177957,0.128091740481668,90.9090909090909,3.727272727272727
AZ | IL | TX,30,1,0,0.5355981494918004,0.525290201516173,100.0,19.8
DC | TX,28,2,0,0.016730382357413386,0.0278274067324293,53.57142857142857,0.6785714285714286
FL | MN | NC | OR | WA,25,1,0,0.04064272609178279,0.0336193040851699,60.0,1.52
AL | AR | GA | LA | MO | NC | TX,24,1,0,0.01316573776395179,0.02152267660465975,66.66666666666666,0.4166666666666667
MD | NY | TX,23,1,0,0.0018068750325152972,0.0,43.47826086956522,0.17391304347826086
AZ | CA | IN | KS | MI | MO | TX,23,1,1,0.021395209620030203,0.0159998686824148,52.17391304347826,0.782608695652174
AR | CO | DC | GA | MA | NC | NY | TN | TX,22,1,1,0.19397960096453054,0.195479994650883,100.0,7.636363636363637
NC | PA | TN | WA,21,1,1,0.12056809650149178,0.119210382984614,71.42857142857143,4.761904761904762
CA | TX,21,1,0,0.19164762815940029,0.192810142007758,80.95238095238095,7.523809523809524
DC | OH | PA | TN | TX | WA,21,3,1,0.06910619839747877,0.10319868303178051,71.42857142857143,2.625
MA | NY,20,2,1,0.18148071441898123,0.3340620049697325,75.0,7.15
FL | IL,20,1,0,0.07841495629281894,0.09599085672203869,90.0,3.1
CA | DC | NY,20,1,0,,,,3.95
AZ | CA | FL | GA | LA | OR | TX | WI,19,1,1,-0.0166493649416042,-0.0321735993734571,33.33333333333333,-2.210526315789474
DC | MD,18,1,0,0.11112002867127946,0.145634435425613,81.81818181818183,2.9444444444444446
NY | TX,18,1,1,,,,1.2777777777777777
IL | IN | KY | OR,18,1,0,0.558431941983726,0.575640533234888,100.0,20.88888888888889
