ReviewID,i_InterventionID,i_Intervention_Name,i_Protocol,i_Protocol_Version,i_Outcome_Domain,i_NumStudiesMeetingStandards,i_NumStudiesEligible,i_Class_type_General,i_Class_type_Inclusion,i_Delivery_Method_Individual,i_Delivery_Method_School,i_Delivery_Method_Small_Group,i_Delivery_Method_Whole_Class,i_Demographics_Sample_ELL,i_Demographics_Sample_FRPL,i_Demographics_Sample_International,i_Ethnicity_Hispanic,i_Ethnicity_Not_Hispanic,i_Gender_Female,i_Gender_Male,i_Grade_1,i_Grade_10,i_Grade_11,i_Grade_12,i_Grade_2,i_Grade_3,i_Grade_4,i_Grade_5,i_Grade_6,i_Grade_7,i_Grade_8,i_Grade_9,i_Grade_K,i_Grade_PK,i_Grade_PS,i_Program_Type_Curriculum,i_Program_Type_Policy,i_Program_Type_Practice,i_Program_Type_School_level,i_Program_Type_Supplement,i_Program_Type_Teacher_level,i_Race_Asian,i_Race_Black,i_Race_Native_American,i_Race_Other,i_Race_Pacific_Islander,i_Race_White,i_Region_State_Alabama,i_Region_State_Alaska,i_Region_State_Arizona,i_Region_State_Arkansas,i_Region_State_California,i_Region_State_Colorado,i_Region_State_Connecticut,i_Region_State_Delaware,i_Region_State_DC,i_Region_State_Florida,i_Region_State_Georgia,i_Region_State_Hawaii,i_Region_State_Idaho,i_Region_State_Illinois,i_Region_State_Indiana,i_Region_State_Iowa,i_Region_State_Kansas,i_Region_State_Kentucky,i_Region_State_Louisiana,i_Region_State_Maine,i_Region_State_Maryland,i_Region_State_Massachusetts,i_Region_State_Michigan,i_Region_State_Midwest,i_Region_State_Minnesota,i_Region_State_Mississippi,i_Region_State_Missouri,i_Region_State_Montana,i_Region_State_Nebraska,i_Region_State_Nevada,i_Region_State_New_Hampshire,i_Region_State_New_Jersey,i_Region_State_New_Mexico,i_Region_State_New_York,i_Region_State_North_Carolina,i_Region_State_North_Dakota,i_Region_State_Northeast,i_Region_State_Ohio,i_Region_State_Oklahoma,i_Region_State_Oregon,i_Region_State_Pennsylvania,i_Region_State_Rhode_Island,i_Region_State_South,i_Region_State_South_Carolina,i_Region_State_South_Dakota,i_Region_State_Tennessee,i_Region_State_Texas,i_Region_State_Utah,i_Region_State_Vermont,i_Region_State_Virginia,i_Region_State_Washington,i_Region_State_West,i_Region_State_West_Virginia,i_Region_State_Wisconsin,i_Region_State_Wyoming,i_School_type_Charter,i_School_type_Parochial,i_School_type_Private,i_School_type_Public,i_Urbanicity_Rural,i_Urbanicity_Suburban,i_Urbanicity_Urban,i_Intervention_Page_URL,i_Sample_Size_Intervention,i_Effectiveness_Rating,s_Protocol,s_Protocol_Version,s_Standards_Version,s_Citation,s_Intervention_Name,s_Study_Design,s_Study_Rating,s_Class_type_General,s_Class_type_Inclusion,s_Delivery_Method_Individual,s_Delivery_Method_School,s_Delivery_Method_Small_Group,s_Delivery_Method_Whole_Class,s_Demographics_Sample_ELL,s_Demographics_Sample_FRPL,s_Demographics_Sample_International,s_Ethnicity_Hispanic,s_Ethnicity_Not_Hispanic,s_Gender_Female,s_Gender_Male,s_Grade_1,s_Grade_10,s_Grade_11,s_Grade_12,s_Grade_2,s_Grade_3,s_Grade_4,s_Grade_5,s_Grade_6,s_Grade_7,s_Grade_8,s_Grade_9,s_Grade_K,s_Grade_PK,s_Grade_PS,s_Program_Type_Curriculum,s_Program_Type_Policy,s_Program_Type_Practice,s_Program_Type_School_level,s_Program_Type_Supplement,s_Program_Type_Teacher_level,s_Race_Asian,s_Race_Black,s_Race_Native_American,s_Race_Other,s_Race_Pacific_Islander,s_Race_White,s_Region_State_Alabama,s_Region_State_Alaska,s_Region_State_Arizona,s_Region_State_Arkansas,s_Region_State_California,s_Region_State_Colorado,s_Region_State_Connecticut,s_Region_State_Delaware,s_Region_State_DC,s_Region_State_Florida,s_Region_State_Georgia,s_Region_State_Hawaii,s_Region_State_Idaho,s_Region_State_Illinois,s_Region_State_Indiana,s_Region_State_Iowa,s_Region_State_Kansas,s_Region_State_Kentucky,s_Region_State_Louisiana,s_Region_State_Maine,s_Region_State_Maryland,s_Region_State_Massachusetts,s_Region_State_Michigan,s_Region_State_Midwest,s_Region_State_Minnesota,s_Region_State_Mississippi,s_Region_State_Missouri,s_Region_State_Montana,s_Region_State_Nebraska,s_Region_State_Nevada,s_Region_State_New_Hampshire,s_Region_State_New_Jersey,s_Region_State_New_Mexico,s_Region_State_New_York,s_Region_State_North_Carolina,s_Region_State_North_Dakota,s_Region_State_Northeast,s_Region_State_Ohio,s_Region_State_Oklahoma,s_Region_State_Oregon,s_Region_State_Pennsylvania,s_Region_State_Rhode_Island,s_Region_State_South,s_Region_State_South_Carolina,s_Region_State_South_Dakota,s_Region_State_Tennessee,s_Region_State_Texas,s_Region_State_Utah,s_Region_State_Vermont,s_Region_State_Virginia,s_Region_State_Washington,s_Region_State_West,s_Region_State_West_Virginia,s_Region_State_Wisconsin,s_Region_State_Wyoming,s_School_type_Charter,s_School_type_Parochial,s_School_type_Private,s_School_type_Public,s_Urbanicity_Rural,s_Urbanicity_Suburban,s_Urbanicity_Urban,s_StudyID,s_Publication,s_Publication_Date,s_ProductID,s_Product_Name,s_Purpose_of_Review,s_Study_Page_URL,s_Rating_Reason,s_Ineligibility_Reason,s_interventionID,s_ERICId,s_US_Region_U_S__Region,s_Disability_ASD,s_School_Setting_Student_Count,s_Disability_IEP,s_Demographics_Sample_Minority,s_Demographics_Sample_Nonminority,s_Multisite,s_Topic_Literacy,s_Topic_STEM,s_Topic_College_Readiness_And_Completion,s_Topic_Social_Emotional_Learning_And_Behavior,s_Topic_SWD,s_Topic_ELL,s_Topic_Teachers_And_School_Leaders,s_Topic_School_Choice,s_Topic_Early_Childhood,s_Topic_K_to_12th_Grade,s_Topic_High_School_Completion,s_Topic_Postsecondary,s_Posting_Date,f_FindingID,f_Protocol,f_InterventionID,f_Intervention_Name,f_Comparison,f_Outcome_MeasureID,f_Outcome_Measure,f_Outcome_Domain,f_Period,f_Sample_Description,f_Is_Subgroup,f_Outcome_Sample_Size,f_Outcome_Intervention_SS,f_Outcome_Comparison_SS,f_Intervention_Clusters_SS,f_Comparison_Clusters_SS,f_Intervention_Mean,f_Comparison_Mean,f_Intervention_Standard_Deviation,f_Comparison_Standard_Deviation,f_Effect_Size_Study,f_Effect_Size_WWC,f_Improvement_Index,f_p_Value_Study,f_p_Value_WWC,f_ICC,f_Clusters_Total,f_Is_Statistically_Significant,f_Finding_Rating,f_ESSA_Rating,f_L1_Unit_of_Analysis,f_FavorableUnfavorableDesignation,state_tokens,state_count,is_multistate,effect_size_num,improvement_num
21639,397.0,Curiosity Corner,Early Childhood Education,1.0,General Mathematics Achievement,1.0,1.0,,,,1.0,,,,,,11.0,,49.54,50.45,,,,,,,,,,,,,,1.0,,,,,,,,,58.12,,,,16.0,,,,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,1.0,/intervention/397,204.0,No Discernible Effects,Early Childhood Education,1.0,1.0,National Center for Education Research. (2008). Effects of Preschool Curriculum Programs on School Readiness. Report from the Preschool Curriculum Evaluation Research Initiative. NCER 2008-2009. National Center for Education Research.,Curiosity Corner,Randomized controlled trial,Meets WWC standards without reservations,,,,1.0,,,,,,,,50.0,50.0,,,,,,,,,,,,,,1.0,,1.0,,,,,,,50.0,,,,,,,,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,29247,National Center for Education Research,2008,126.0,Curiosity Corner (Early Childhood Education),Intervention Report,/Study/29247,,,397,ED502153,,,,14.0,,,,1.0,1.0,,,,,,,1.0,,,,,513,Early Childhood Education,397,Curiosity Corner,,861,Woodcock-Johnson III (WJ-III): Applied Problems subtest,General Mathematics Achievement,,Preschoolers,False,180.0,93.0,87.0,10.0,8.0,,,,,0.1,,4.0,,0.503436572263281,,,False,,,Student,,"['FL', 'KS', 'NJ']",3,True,,4.0
21639,397.0,Curiosity Corner,Early Childhood Education,1.0,General Mathematics Achievement,1.0,1.0,,,,1.0,,,,,,11.0,,49.54,50.45,,,,,,,,,,,,,,1.0,,,,,,,,,58.12,,,,16.0,,,,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,1.0,/intervention/397,204.0,No Discernible Effects,Early Childhood Education,1.0,1.0,National Center for Education Research. (2008). Effects of Preschool Curriculum Programs on School Readiness. Report from the Preschool Curriculum Evaluation Research Initiative. NCER 2008-2009. National Center for Education Research.,Curiosity Corner,Randomized controlled trial,Meets WWC standards without reservations,,,,1.0,,,,,,,,50.0,50.0,,,,,,,,,,,,,,1.0,,1.0,,,,,,,50.0,,,,,,,,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,29247,National Center for Education Research,2008,126.0,Curiosity Corner (Early Childhood Education),Intervention Report,/Study/29247,,,397,ED502153,,,,14.0,,,,1.0,1.0,,,,,,,1.0,,,,,514,Early Childhood Education,397,Curiosity Corner,,697,Child Math Assessment-Abbreviated (CMA-A) Composite,General Mathematics Achievement,,Preschoolers,False,204.0,101.0,103.0,10.0,8.0,,,,,0.01,,0.0,,0.943141076877311,,,False,,,Student,,"['FL', 'KS', 'NJ']",3,True,,0.0
21639,397.0,Curiosity Corner,Early Childhood Education,1.0,General Mathematics Achievement,1.0,1.0,,,,1.0,,,,,,11.0,,49.54,50.45,,,,,,,,,,,,,,1.0,,,,,,,,,58.12,,,,16.0,,,,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,1.0,/intervention/397,204.0,No Discernible Effects,Early Childhood Education,1.0,1.0,National Center for Education Research. (2008). Effects of Preschool Curriculum Programs on School Readiness. Report from the Preschool Curriculum Evaluation Research Initiative. NCER 2008-2009. National Center for Education Research.,Curiosity Corner,Randomized controlled trial,Meets WWC standards without reservations,,,,1.0,,,,,,,,50.0,50.0,,,,,,,,,,,,,,1.0,,1.0,,,,,,,50.0,,,,,,,,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,29247,National Center for Education Research,2008,126.0,Curiosity Corner (Early Childhood Education),Intervention Report,/Study/29247,,,397,ED502153,,,,14.0,,,,1.0,1.0,,,,,,,1.0,,,,,515,Early Childhood Education,397,Curiosity Corner,,822,Shape Composition,General Mathematics Achievement,,Preschoolers,False,200.0,101.0,99.0,10.0,8.0,,,,,0.16,,6.0,,0.25928434094323,,,False,,,Student,,"['FL', 'KS', 'NJ']",3,True,,6.0
21639,397.0,Curiosity Corner,Early Childhood Education,1.0,Oral language,2.0,2.0,,,,1.0,,,,,,11.0,,49.54,50.45,,,,,,,,,,,,,,1.0,,,,,,,,,58.12,,,,16.0,,,,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,1.0,/intervention/397,369.0,Potentially Positive Effects,Early Childhood Education,1.0,1.0,National Center for Education Research. (2008). Effects of Preschool Curriculum Programs on School Readiness. Report from the Preschool Curriculum Evaluation Research Initiative. NCER 2008-2009. National Center for Education Research.,Curiosity Corner,Randomized controlled trial,Meets WWC standards without reservations,,,,1.0,,,,,,,,50.0,50.0,,,,,,,,,,,,,,1.0,,1.0,,,,,,,50.0,,,,,,,,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,29247,National Center for Education Research,2008,126.0,Curiosity Corner (Early Childhood Education),Intervention Report,/Study/29247,,,397,ED502153,,,,14.0,,,,1.0,1.0,,,,,,,1.0,,,,,504,Early Childhood Education,397,Curiosity Corner,,881,Peabody Picture Vocabulary Test III (PPVT-III),Oral language,,Preschoolers,False,201.0,101.0,100.0,10.0,8.0,,,,,-0.01,,0.0,,0.943559032669581,,,False,,,Student,,"['FL', 'KS', 'NJ']",3,True,,0.0
21639,397.0,Curiosity Corner,Early Childhood Education,1.0,Oral language,2.0,2.0,,,,1.0,,,,,,11.0,,49.54,50.45,,,,,,,,,,,,,,1.0,,,,,,,,,58.12,,,,16.0,,,,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,1.0,/intervention/397,369.0,Potentially Positive Effects,Early Childhood Education,1.0,1.0,National Center for Education Research. (2008). Effects of Preschool Curriculum Programs on School Readiness. Report from the Preschool Curriculum Evaluation Research Initiative. NCER 2008-2009. National Center for Education Research.,Curiosity Corner,Randomized controlled trial,Meets WWC standards without reservations,,,,1.0,,,,,,,,50.0,50.0,,,,,,,,,,,,,,1.0,,1.0,,,,,,,50.0,,,,,,,,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,29247,National Center for Education Research,2008,126.0,Curiosity Corner (Early Childhood Education),Intervention Report,/Study/29247,,,397,ED502153,,,,14.0,,,,1.0,1.0,,,,,,,1.0,,,,,505,Early Childhood Education,397,Curiosity Corner,,900,Test of Language Development - Primary III (TOLD-PIII): Grammatic Understanding subtest,Oral language,,Preschoolers,False,199.0,100.0,99.0,10.0,8.0,,,,,-0.08,,-3.0,,0.573214240933623,,,False,,,Student,,"['FL', 'KS', 'NJ']",3,True,,-3.0
21639,397.0,Curiosity Corner,Early Childhood Education,1.0,Phonological processing,1.0,1.0,,,,1.0,,,,,,11.0,,49.54,50.45,,,,,,,,,,,,,,1.0,,,,,,,,,58.12,,,,16.0,,,,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,1.0,/intervention/397,204.0,No Discernible Effects,Early Childhood Education,1.0,1.0,National Center for Education Research. (2008). Effects of Preschool Curriculum Programs on School Readiness. Report from the Preschool Curriculum Evaluation Research Initiative. NCER 2008-2009. National Center for Education Research.,Curiosity Corner,Randomized controlled trial,Meets WWC standards without reservations,,,,1.0,,,,,,,,50.0,50.0,,,,,,,,,,,,,,1.0,,1.0,,,,,,,50.0,,,,,,,,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,29247,National Center for Education Research,2008,126.0,Curiosity Corner (Early Childhood Education),Intervention Report,/Study/29247,,,397,ED502153,,,,14.0,,,,1.0,1.0,,,,,,,1.0,,,,,511,Early Childhood Education,397,Curiosity Corner,,928,Preschool Comprehensive Test of Phonological and Print Processing (Pre-CTOPPP): Elision subtest,Phonological processing,,Preschoolers,False,204.0,101.0,103.0,10.0,8.0,,,,,0.18,,7.0,,0.200118662607516,,,False,,,Student,,"['FL', 'KS', 'NJ']",3,True,,7.0
21639,397.0,Curiosity Corner,Early Childhood Education,1.0,Print knowledge,1.0,1.0,,,,1.0,,,,,,11.0,,49.54,50.45,,,,,,,,,,,,,,1.0,,,,,,,,,58.12,,,,16.0,,,,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,1.0,/intervention/397,200.0,No Discernible Effects,Early Childhood Education,1.0,1.0,National Center for Education Research. (2008). Effects of Preschool Curriculum Programs on School Readiness. Report from the Preschool Curriculum Evaluation Research Initiative. NCER 2008-2009. National Center for Education Research.,Curiosity Corner,Randomized controlled trial,Meets WWC standards without reservations,,,,1.0,,,,,,,,50.0,50.0,,,,,,,,,,,,,,1.0,,1.0,,,,,,,50.0,,,,,,,,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,29247,National Center for Education Research,2008,126.0,Curiosity Corner (Early Childhood Education),Intervention Report,/Study/29247,,,397,ED502153,,,,14.0,,,,1.0,1.0,,,,,,,1.0,,,,,507,Early Childhood Education,397,Curiosity Corner,,971,Test of Early Reading Ability III (TERA-III),Print knowledge,,Preschoolers,False,200.0,101.0,99.0,10.0,8.0,,,,,0.1,,4.0,,0.480349246400383,,,False,,,Student,,"['FL', 'KS', 'NJ']",3,True,,4.0
21639,397.0,Curiosity Corner,Early Childhood Education,1.0,Print knowledge,1.0,1.0,,,,1.0,,,,,,11.0,,49.54,50.45,,,,,,,,,,,,,,1.0,,,,,,,,,58.12,,,,16.0,,,,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,1.0,/intervention/397,200.0,No Discernible Effects,Early Childhood Education,1.0,1.0,National Center for Education Research. (2008). Effects of Preschool Curriculum Programs on School Readiness. Report from the Preschool Curriculum Evaluation Research Initiative. NCER 2008-2009. National Center for Education Research.,Curiosity Corner,Randomized controlled trial,Meets WWC standards without reservations,,,,1.0,,,,,,,,50.0,50.0,,,,,,,,,,,,,,1.0,,1.0,,,,,,,50.0,,,,,,,,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,29247,National Center for Education Research,2008,126.0,Curiosity Corner (Early Childhood Education),Intervention Report,/Study/29247,,,397,ED502153,,,,14.0,,,,1.0,1.0,,,,,,,1.0,,,,,508,Early Childhood Education,397,Curiosity Corner,,973,Woodcock-Johnson III (WJ-III): Letter-Word Identification subtest,Print knowledge,,Preschoolers,False,177.0,88.0,89.0,10.0,8.0,,,,,0.09,,4.0,,0.550158360881355,,,False,,,Student,,"['FL', 'KS', 'NJ']",3,True,,4.0
21639,397.0,Curiosity Corner,Early Childhood Education,1.0,Print knowledge,1.0,1.0,,,,1.0,,,,,,11.0,,49.54,50.45,,,,,,,,,,,,,,1.0,,,,,,,,,58.12,,,,16.0,,,,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,1.0,/intervention/397,200.0,No Discernible Effects,Early Childhood Education,1.0,1.0,National Center for Education Research. (2008). Effects of Preschool Curriculum Programs on School Readiness. Report from the Preschool Curriculum Evaluation Research Initiative. NCER 2008-2009. National Center for Education Research.,Curiosity Corner,Randomized controlled trial,Meets WWC standards without reservations,,,,1.0,,,,,,,,50.0,50.0,,,,,,,,,,,,,,1.0,,1.0,,,,,,,50.0,,,,,,,,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,29247,National Center for Education Research,2008,126.0,Curiosity Corner (Early Childhood Education),Intervention Report,/Study/29247,,,397,ED502153,,,,14.0,,,,1.0,1.0,,,,,,,1.0,,,,,509,Early Childhood Education,397,Curiosity Corner,,974,Woodcock-Johnson III (WJ-III): Spelling subtest,Print knowledge,,Preschoolers,False,194.0,96.0,98.0,10.0,8.0,,,,,0.04,,2.0,,0.780886134641922,,,False,,,Student,,"['FL', 'KS', 'NJ']",3,True,,2.0
22383,621.0,New Chance,Dropout Prevention,1.0,Completing school,1.0,1.0,,,1.0,,,,,,,25.0,,100.0,0.0,,1.0,1.0,1.0,,,,,,,,,,,1.0,,,,,,,,50.0,,,,,,,,,1.0,1.0,,,,1.0,,,,1.0,,,,1.0,,,,,1.0,1.0,1.0,,,,,,,,,1.0,,,1.0,,,1.0,1.0,,1.0,,,,,,,,,1.0,,,,,,,,,,1.0,/intervention/621,2079.0,Potentially Positive Effects,Dropout Prevention,1.0,1.0,"Quint, Janet C.; Bos, Johannes M.; Polit, Denise F. (1997). New Chance. Final Report on a Comprehensive Program for Young Mothers in Poverty and Their Children. ",New Chance,Randomized Controlled Trial,Meets WWC standards without reservations,,,1.0,,,,,,,25.0,75.0,100.0,0.0,,1.0,1.0,1.0,,,,,,,,,,,1.0,1.0,,,,,,,50.0,,,,,,,,,1.0,1.0,,,,1.0,,,,1.0,,,,1.0,,,,,1.0,1.0,1.0,,,,,,,,,1.0,,,1.0,,,1.0,1.0,,1.0,,,,,,,,,1.0,,,,,,,,,,1.0,30012,,1997,336.0,New Chance (Dropout Prevention),Intervention Report,/Study/30012,,,621,ED419864,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,1550,Dropout Prevention,621,New Chance,43.8,348,Earned a high school diploma or GED certificate within 42 months of random assignment (%),Completing school,42 months after random assignment,Full sample,False,2079.0,1401.0,678.0,,,51.9,43.8,,,0.2,,8.0,,2.57104344207892e-05,,,True,,Evidence Tier 3,Student,,"['CA', 'CO', 'FL', 'IL', 'KY', 'MI', 'MN', 'NY', 'OR', 'PA']",10,True,,8.0
