state_abbr,findings_count,studies_count,interventions_count,findings_sample_weighted,study_sample_median_weighted,intervention_sample_median_weighted,state_name
TX,1812,168,128,9500058.45823824,1516.75,2089.3500000000004,Texas
CA,1796,174,146,3275752.5047889124,1724.0,1866.375,California
NY,1735,126,102,10660909.100892808,1953.7045454545455,2416.0,New York
PA,1066,80,70,762082.4831425035,692.75,982.5,Pennsylvania
NC,955,66,55,15031539.196039328,7675.357142857143,7866.964285714285,North Carolina
IL,769,65,58,2160600.3733495185,1666.0,2185.3500000000004,Illinois
FL,731,103,99,1385027.8410290615,1218.5,1218.5,Florida
MA,720,64,51,774282.7760912215,1324.25,1640.0,Massachusetts
DC,651,34,26,1640028.30982138,1803.4545454545455,3628.75,District of Columbia
OH,613,55,52,724793.9366778571,850.0,817.0,Ohio
GA,604,39,39,137942.1098560677,760.5,1048.0,Georgia
TN,516,67,54,4576096.916643725,410.0,571.6666666666666,Tennessee
WA,505,48,43,13887542.220281754,476.3333333333333,502.40000000000003,Washington
MD,469,51,47,12791575.299417894,1218.5,1579.0,Maryland
MI,434,37,37,850260.4271540475,1580.8571428571427,1194.2,Michigan
OR,432,42,43,805620.6778575107,896.0,1118.0,Oregon
LA,401,34,32,1799925.0415119117,1639.2619047619046,2024.7250000000001,Louisiana
MN,372,32,27,2031992.850730471,784.1,1221.6000000000001,Minnesota
KY,362,32,27,385400.17791162326,1413.75,1810.0,Kentucky
CO,353,34,30,622123.8838279292,632.0,1113.1666666666665,Colorado
WI,336,33,32,1828642.8463653915,1793.0,1359.0714285714284,Wisconsin
OK,331,12,9,25497.26460622711,570.5,677.0,Oklahoma
NJ,319,34,26,178976.5049679003,1187.0,1143.5,New Jersey
MO,295,25,24,91410.2113531817,994.4000000000001,881.6488095238094,Missouri
IN,286,32,28,2451528.2543227123,762.25,679.75,Indiana
SC,278,23,22,65859.8485465439,464.0,586.3333333333333,South Carolina
NM,254,20,19,109052.76996124031,1331.5,1922.0,New Mexico
AR,254,9,7,56554.30408822443,994.4000000000001,994.4000000000001,Arkansas
KS,233,14,15,156304.12130989166,437.422480620155,875.5833333333333,Kansas
VA,228,37,33,58415.148334256184,464.0,283.0,Virginia
MS,214,14,14,34616.48186813187,934.9916666666667,1108.0,Mississippi
AZ,180,27,30,76732.76354127139,994.4000000000001,1114.9375,Arizona
ME,174,11,8,41718.49953999489,2728.0,1422.9285714285713,Maine
IA,159,7,7,30943.71763023798,3682.0,3682.0,Iowa
WV,154,12,11,30949.24953999489,250.75581395348837,288.51162790697674,West Virginia
CT,124,18,17,29830.59841269841,1541.75,1294.25,Connecticut
AL,107,22,17,68632.57531838317,394.0,602.2916666666666,Alabama
UT,86,21,13,34140.15694444445,480.0,853.0,Utah
NE,85,11,12,410264.16857235145,464.0,403.125,Nebraska
NV,73,8,7,12540.974127906977,901.0058139534883,1647.0,Nevada
AK,60,5,6,20936.23890063425,288.51162790697674,209.75581395348837,Alaska
DE,44,5,5,1699.8166666666666,210.0,210.0,Delaware
ID,34,6,6,81583.78056730091,375.61945031712474,375.61945031712474,Idaho
HI,32,5,5,25703.511627906977,298.0,344.0,Hawaii
VT,31,3,3,16401.0,660.0,660.0,Vermont
RI,29,6,5,15421.303294573643,677.5625,1307.7916666666667,Rhode Island
NH,25,5,4,5533.511627906977,288.51162790697674,649.7558139534883,New Hampshire
SD,20,4,4,347054.28940568474,727.9780361757105,727.9780361757105,South Dakota
WY,14,2,2,638.75,319.375,319.375,Wyoming
MT,12,2,2,569.0532945736434,284.5266472868217,284.5266472868217,Montana
ND,1,1,1,2128.7000000000003,2128.7000000000003,2128.7000000000003,North Dakota
