state_abbr,grade_bucket,findings_n
AK,1,4
AK,10,47
AK,11,4
AK,12,4
AK,4,34
AK,5,41
AK,6,47
AK,7,47
AK,8,47
AK,9,47
AK,K,4
AL,1,10
AL,10,43
AL,11,39
AL,12,39
AL,2,17
AL,3,27
AL,4,34
AL,5,21
AL,6,17
AL,7,17
AL,8,45
AL,9,42
AL,PS,12
AR,10,37
AR,11,33
AR,12,33
AR,3,8
AR,4,8
AR,5,190
AR,6,216
AR,7,206
AR,8,230
AR,9,32
AR,PS,5
AZ,1,42
AZ,10,22
AZ,11,16
AZ,12,16
AZ,2,17
AZ,3,13
AZ,4,14
AZ,5,46
AZ,6,7
AZ,7,35
AZ,8,16
AZ,9,29
AZ,K,7
AZ,PK,4
AZ,PS,27
CA,1,146
CA,10,354
CA,11,455
CA,12,458
CA,2,219
CA,3,244
CA,4,308
CA,5,503
CA,6,460
CA,7,529
CA,8,510
CA,9,428
CA,K,121
CA,PK,128
CA,PS,270
CO,1,84
CO,10,49
CO,11,56
CO,12,62
CO,2,103
CO,3,65
CO,4,63
CO,5,34
CO,6,33
CO,7,42
CO,8,38
CO,9,55
CO,K,83
CO,PK,2
CO,PS,10
CT,1,64
CT,10,13
CT,11,17
CT,12,17
CT,2,57
CT,6,2
CT,8,6
CT,9,8
CT,K,18
CT,PK,14
CT,PS,19
DC,1,30
DC,10,143
DC,11,143
DC,12,161
DC,2,64
DC,3,50
DC,4,67
DC,5,280
DC,6,314
DC,7,308
DC,8,299
DC,9,166
DC,K,37
DC,PK,37
DC,PS,61
DE,4,1
DE,6,3
DE,PK,40
FL,1,151
FL,10,157
FL,11,160
FL,12,117
FL,2,133
FL,3,75
FL,4,159
FL,5,130
FL,6,90
FL,7,101
FL,8,94
FL,9,194
FL,K,107
FL,PK,104
FL,PS,94
GA,1,78
GA,10,52
GA,11,49
GA,12,69
GA,2,82
GA,3,46
GA,4,38
GA,5,235
GA,6,244
GA,7,220
GA,8,244
GA,9,50
GA,K,54
GA,PK,9
GA,PS,88
HI,1,24
HI,10,7
HI,11,7
HI,12,7
HI,2,24
HI,3,24
HI,4,24
HI,5,14
HI,6,19
HI,7,5
HI,8,6
HI,9,7
HI,K,24
HI,PS,1
IA,10,13
IA,11,4
IA,12,4
IA,3,8
IA,4,8
IA,5,8
IA,6,12
IA,7,4
IA,8,4
IA,9,13
IA,PS,20
ID,1,9
ID,10,13
ID,11,4
ID,12,4
ID,2,9
ID,3,17
ID,4,9
ID,5,9
ID,6,12
ID,7,8
ID,8,8
ID,9,17
ID,K,7
IL,1,162
IL,10,48
IL,11,39
IL,12,39
IL,2,147
IL,3,166
IL,4,199
IL,5,318
IL,6,341
IL,7,334
IL,8,320
IL,9,100
IL,K,93
IL,PK,42
IL,PS,63
IN,1,70
IN,10,56
IN,11,56
IN,12,56
IN,2,87
IN,3,97
IN,4,76
IN,5,81
IN,6,59
IN,7,69
IN,8,46
IN,9,71
IN,K,50
IN,PK,22
IN,PS,79
KS,1,13
KS,10,16
KS,11,16
KS,12,16
KS,2,11
KS,3,23
KS,4,13
KS,5,35
KS,6,16
KS,7,31
KS,8,8
KS,9,16
KS,K,2
KS,PK,9
KS,PS,42
KY,1,97
KY,10,27
KY,11,18
KY,12,18
KY,2,99
KY,3,40
KY,4,19
KY,6,16
KY,7,16
KY,8,33
KY,9,37
KY,K,40
KY,PK,24
KY,PS,38
LA,1,56
LA,10,72
LA,11,66
LA,12,66
LA,2,56
LA,3,66
LA,4,77
LA,5,94
LA,6,77
LA,7,63
LA,8,79
LA,9,72
LA,K,49
LA,PK,7
LA,PS,114
MA,1,19
MA,10,70
MA,11,80
MA,12,118
MA,2,12
MA,3,40
MA,4,76
MA,5,279
MA,6,320
MA,7,266
MA,8,262
MA,9,90
MA,K,27
MA,PK,15
MA,PS,132
MD,1,167
MD,10,135
MD,11,135
MD,12,155
MD,2,190
MD,3,189
MD,4,177
MD,5,138
MD,6,135
MD,7,110
MD,8,95
MD,9,154
MD,K,139
MD,PK,11
MD,PS,112
ME,10,8
ME,11,8
ME,12,8
ME,6,4
ME,7,5
ME,8,7
