state_abbr,grade_bucket,findings_n
AK,10,13
AK,11,4
AK,12,4
AK,6,4
AK,7,4
AK,8,4
AK,9,13
AL,1,10
AL,10,43
AL,11,39
AL,12,39
AL,2,13
AL,3,23
AL,4,22
AL,5,12
AL,6,14
AL,7,14
AL,8,42
AL,9,42
AR,10,37
AR,11,33
AR,12,33
AR,3,8
AR,4,8
AR,5,190
AR,6,216
AR,7,206
AR,8,230
AR,9,32
AZ,1,42
AZ,10,10
AZ,11,10
AZ,12,10
AZ,2,13
AZ,3,13
AZ,4,14
AZ,5,46
AZ,6,7
AZ,7,35
AZ,8,16
AZ,9,17
AZ,K,4
AZ,PK,4
AZ,PS,8
CA,1,109
CA,10,162
CA,11,164
CA,12,164
CA,2,133
CA,3,134
CA,4,134
CA,5,319
CA,6,270
CA,7,291
CA,8,272
CA,9,209
CA,K,84
CA,PK,64
CA,PS,179
CO,1,40
CO,10,42
CO,11,44
CO,12,44
CO,2,43
CO,3,40
CO,4,35
CO,5,6
CO,6,32
CO,7,34
CO,8,30
CO,9,48
CO,K,40
CO,PS,3
CT,1,57
CT,10,11
CT,11,15
CT,12,15
CT,2,57
CT,6,2
CT,8,4
CT,9,6
CT,K,11
CT,PS,19
DC,1,22
DC,10,135
DC,11,135
DC,12,153
DC,2,56
DC,3,42
DC,4,59
DC,5,272
DC,6,306
DC,7,300
DC,8,291
DC,9,158
DC,K,29
DC,PK,37
DC,PS,61
DE,4,1
DE,PK,40
FL,1,86
FL,10,82
FL,11,84
FL,12,84
FL,2,89
FL,3,22
FL,4,32
FL,5,46
FL,6,33
FL,7,30
FL,8,30
FL,9,91
FL,K,24
FL,PK,48
FL,PS,56
GA,1,63
GA,10,50
GA,11,47
GA,12,67
GA,2,67
GA,3,31
GA,4,19
GA,5,216
GA,6,225
GA,7,211
GA,8,235
GA,9,50
GA,K,51
GA,PK,9
GA,PS,79
HI,10,4
HI,11,4
HI,12,4
HI,6,4
HI,7,4
HI,8,4
HI,9,4
IA,10,13
IA,11,4
IA,12,4
IA,3,8
IA,4,8
IA,5,8
IA,6,12
IA,7,4
IA,8,4
IA,9,13
IA,PS,6
ID,1,2
ID,10,13
ID,11,4
ID,12,4
ID,2,2
ID,3,10
ID,4,9
ID,5,9
ID,6,12
ID,7,8
ID,8,8
ID,9,17
IL,1,135
IL,10,33
IL,11,39
IL,12,39
IL,2,119
IL,3,118
IL,4,133
IL,5,260
IL,6,278
IL,7,270
IL,8,266
IL,9,71
IL,K,77
IL,PK,23
IL,PS,54
IN,1,52
IN,10,55
IN,11,55
IN,12,55
IN,2,53
IN,3,63
IN,4,11
IN,5,40
IN,6,20
IN,7,30
IN,8,7
IN,9,48
IN,K,40
IN,PK,22
