state_abbr,i_InterventionID,i_Intervention_Name,findings_n,studies_n,weighted_outcome_sample,mean_effect_size_wwc,median_effect_size_wwc,pct_positive_effect_size,mean_improvement_index,intervention_name
AK,552.0,Earobics®,4,1,131.0,-0.01012512675465825,0.0706565025380925,75.0,-0.25,Earobics®
AK,727.0,Reciprocal Teaching,7,1,84.0,0.5002533008206901,0.365433915422193,85.71428571428571,17.571428571428573,Reciprocal Teaching
AK,750.0,Core-Plus Mathematics,9,1,462.72727272727275,0.3750378161015652,0.289480191481847,77.77777777777779,13.0,Core-Plus Mathematics
AL,17.0,Saxon Math,1,1,46.5625,0.112191716858976,0.112191716858976,100.0,4.0,Saxon Math
AL,214.0,Success for All®,10,1,875.5833333333333,0.15719305656822333,0.206750183071705,57.14285714285714,5.9,Success for All®
AL,309.0,Accelerated Math® ,10,2,602.2916666666666,0.2527000079872857,0.243,100.0,9.857142857142858,Accelerated Math® 
AL,762.0,Spelling Mastery,4,1,168.0,0.48778252756940127,0.4835484105087915,100.0,16.5,Spelling Mastery
AL,767.0,Coping Power,6,2,1820.0,0.1668644115547683,0.1660363688625015,100.0,6.0,Coping Power
AL,818.0,Cognitive Tutor Algebra I,4,2,2369.285714285714,0.07118220383737028,0.07118220383737028,50.0,1.25,Cognitive Tutor Algebra I
AR,19.0,Knowledge is Power Program (KIPP),22,1,37873.22222222222,0.19397960096453054,0.195479994650883,100.0,7.636363636363637,Knowledge is Power Program (KIPP)
AR,309.0,Accelerated Math® ,8,1,280.54166666666663,0.2946,0.249,100.0,11.6,Accelerated Math® 
AZ,17.0,Saxon Math,1,1,46.5625,0.112191716858976,0.112191716858976,100.0,4.0,Saxon Math
AZ,214.0,Success for All®,10,1,875.5833333333333,0.15719305656822333,0.206750183071705,57.14285714285714,5.9,Success for All®
AZ,290.0,"Investigations in Number, Data, and Space®",2,1,83.25,0.11467330185640134,0.11467330185640134,50.0,4.5,"Investigations in Number, Data, and Space®"
AZ,325.0,Read Naturally,4,1,376.0,0.07926285277370987,0.09067921487866204,75.0,3.25,Read Naturally
AZ,529.0,Successmaker,23,1,887.7142857142857,0.021395209620030203,0.0159998686824148,52.17391304347826,0.782608695652174,Successmaker
AZ,623.0,JOBSTART,4,1,431.22222222222223,,,,13.75,JOBSTART
AZ,726.0,Project CRISS®,3,1,578.125,-0.0166493649416042,-0.0321735993734571,33.33333333333333,-0.6666666666666666,Project CRISS®
AZ,742.0,READ 180®,6,1,6948.0,0.22978919920647647,0.2163275102587825,100.0,8.833333333333334,READ 180®
AZ,1279.0,Prentice Hall/Pearson Literature© (2007-15),2,1,527.25,-0.01469072360644005,-0.01469072360644005,50.0,-0.5,Prentice Hall/Pearson Literature© (2007-15)
CA,6.0,Teach for America (TFA),2,1,571.6666666666666,0.09274873159973471,0.09274873159973471,100.0,3.5,Teach for America (TFA)
CA,17.0,Saxon Math,1,1,46.5625,0.112191716858976,0.112191716858976,100.0,4.0,Saxon Math
CA,19.0,Knowledge is Power Program (KIPP),24,3,13022.623376623376,0.24447012943367374,0.2265016220860955,100.0,9.625,Knowledge is Power Program (KIPP)
CA,103.0,Caring School Community (CSC),20,1,5800.0,0.20355566953023838,0.149290497175434,80.0,8.5,Caring School Community (CSC)
CA,214.0,Success for All®,17,2,2284.5833333333335,-0.15710738423355627,-0.03216197610154655,28.57142857142857,-3.823529411764706,Success for All®
CA,232.0,Open Court Reading©,1,1,434.0,0.307991146726936,0.307991146726936,100.0,12.0,Open Court Reading©
CA,235.0,Project Read,4,2,108.0,0.117937850957257,0.117937850957257,100.0,1.25,Project Read
CA,245.0,Instructional Conversations and Literature Logs,4,1,336.0,0.6988423620232764,0.6461040976256796,100.0,25.75,Instructional Conversations and Literature Logs
CA,261.0,Lions Quest -- Skills for Adolescence,10,1,12289.5,,,,1.6,Lions Quest -- Skills for Adolescence
CA,289.0,Houghton Mifflin Mathematics,7,2,1251.6666666666667,,,,0.0,Houghton Mifflin Mathematics
CA,309.0,Accelerated Math® ,8,1,280.54166666666663,0.2946,0.249,100.0,11.6,Accelerated Math® 
CA,316.0,High School Redirection,5,1,1718.0,0.3392047460374557,0.264855112035891,100.0,11.2,High School Redirection
CA,319.0,Twelve Together,2,1,438.0,-0.153896123115872,-0.153896123115872,0.0,3.5,Twelve Together
