state_abbr,f_Outcome_Domain,findings_n
AK,Academic achievement,4
AK,General Mathematics Achievement,9
AL,Academic achievement,9
AL,Algebra,4
AL,Alphabetics,5
AL,Cognition,5
AL,Comprehension,5
AL,English language arts achievement,4
AL,General Mathematics Achievement,14
AL,General academic achievement (college),4
AL,Intrapersonal Competencies,7
AL,Reading achievement,1
AL,Science Achievement,10
AL,Student Behavior,1
AL,Student emotional status,5
AL,Student engagement in school,4
AL,Writing Conventions,1
AL,Writing Quality,3
AR,Academic achievement,9
AR,Cognition,4
AR,English language arts achievement,13
AR,General Mathematics Achievement,108
AR,General academic achievement (college),4
AR,Intrapersonal Competencies,7
AR,Reading achievement,91
AR,Science Achievement,2
AR,Social Studies Achievement,2
AR,Student Behavior,1
AR,Student emotional status,4
AR,Student engagement in school,4
AZ,Academic achievement,28
AZ,Alphabetics,10
AZ,Completing school,4
AZ,Comprehension,21
AZ,English language arts achievement,4
AZ,English language proficiency,3
AZ,General Literacy Achievement,13
AZ,General Mathematics Achievement,6
AZ,Proficiency in a Language Other Than English,11
AZ,Progressing in College,4
AZ,Progressing in school (secondary school),3
AZ,Reading Fluency,13
AZ,Reading achievement,1
AZ,Receptive Communication,1
AZ,School Attendance,1
AZ,Science Achievement,14
AZ,Student Discipline,1
AZ,Vocabulary,1
CA,Academic achievement,68
CA,Access and enrollment,10
CA,Alphabetics,18
CA,Attainment,11
CA,Behavior,10
CA,Cognition,3
CA,College Degree Attainment,30
CA,College Enrollment,42
CA,College Readiness,2
CA,Completing school,13
CA,Comprehension,41
CA,Credit accumulation,1
CA,Credit accumulation and persistence,5
CA,Earnings,16
CA,Earth/Space Sciences,1
CA,Employment,30
CA,English language arts achievement,12
CA,English language development,5
CA,English language proficiency,9
CA,Expressive Communication,1
CA,External behavior,2
CA,Functional Skills,1
CA,General Literacy Achievement,15
CA,General Mathematics Achievement,166
CA,General social studies achievement ,3
CA,High School Completion,16
CA,"Industry-Recognized Credential, Certificate, or License",3
CA,"Industry-recognized credential, certificate, or license completion",3
CA,Instructional practice,1
CA,Intrapersonal Competencies,16
CA,"Knowledge, attitudes, & values",4
CA,Labor market outcomes,10
CA,Language,4
CA,Life sciences,4
CA,Literacy Achievement,17
CA,Mathematics,7
CA,Oral language,3
CA,Other academic performance,1
CA,Phonological processing,3
CA,Physical sciences,2
CA,Postsecondary degree attainment,6
CA,Print knowledge,4
CA,Progress in developmental education,7
CA,Progressing in College,48
CA,Progressing in school,20
CA,Progressing in school (secondary school),8
CA,Progressing in secondary school or adult education,2
CA,Reading & Literacy Related,10
CA,Reading Comprehension,8
CA,Reading Fluency,19
CA,Reading achievement,132
CA,School Attendance,1
CA,School Climate,8
CA,School leader retention at the school,1
CA,Science Achievement,19
CA,Secondary school academic achievement,5
CA,Secondary school attendance,2
CA,Self-regulation,1
CA,Short-Term Earnings,3
CA,Short-Term Employment,5
CA,Social Studies Achievement,3
CA,Social outcomes,1
CA,Social-Emotional Learning,2
CA,Social-emotional development,16
CA,Staying in School,4
CA,Staying in Secondary School,1
CA,Student Behavior,10
CA,Student Discipline,13
CA,Student engagement in school,1
CA,Student progression,2
CA,Teacher Retention in the School,5
CA,Teacher and leader effectiveness,8
CA,Teacher retention in the profession,5
CA,Teacher retention in the school district,5
CA,Vocabulary,1
CA,Writing Conventions,1
CA,Writing Quality,4
CO,Academic achievement,7
CO,College Degree Attainment,22
CO,College Enrollment,25
CO,College Readiness,14
CO,Completing school,5
