state_abbr,s_StudyID,s_Study_Design,s_Study_Rating,s_Study_Page_URL,findings_n,interventions_n,weighted_outcome_sample,mean_effect_size_wwc,mean_improvement_index
AK,33248,Quasi-Experimental Design,Meets WWC standards with reservations,/Study/33248,4,1,131.0,-0.01012512675465825,-0.25
AK,39985,Randomized Controlled Trial,Meets WWC standards without reservations,/Study/39985,9,1,108.0,0.4596073429907179,16.333333333333332
AK,65371,Quasi-Experimental Design,Meets WWC standards with reservations,/Study/65371,9,1,462.72727272727275,0.3750378161015652,13.0
AK,86085,Randomized Controlled Trial,Meets WWC standards without reservations,/Study/86085,34,0,19946.0,0.045495553196132986,1.8181818181818181
AK,87293,Randomized Controlled Trial,Meets WWC standards with reservations,/Study/87293,4,0,288.51162790697674,0.3851747268965773,14.75
AL,14407,Randomized Controlled Trial,Meets WWC standards with reservations,/Study/14407,8,1,280.54166666666663,0.2946,11.6
AL,14409,Randomized Controlled Trial,Meets WWC standards with reservations,/Study/14409,2,1,321.75,0.14795002795549989,5.5
AL,67840,Randomized controlled trial,Meets WWC standards without reservations,/Study/67840,5,1,1596.0,0.1733886583207214,5.6
AL,67841,Randomized Controlled Trial,Meets WWC standards without reservations,/Study/67841,1,1,224.0,0.134243177725003,8.0
AL,77299,Quasi-Experimental Design,Meets WWC standards with reservations,/Study/77299,1,1,46.5625,0.112191716858976,4.0
AL,78530,Randomized Controlled Trial,Meets WWC standards without reservations,/Study/78530,4,1,168.0,0.48778252756940127,16.5
AL,78616,Randomized controlled trial,Meets WWC standards without reservations,/Study/78616,3,0,44951.0,,2.0
AL,81433,Randomized controlled trial,Meets WWC standards without reservations,/Study/81433,10,0,2297.833333333333,0.3962562693277202,15.2
AL,81478,Randomized Controlled Trial,Meets WWC standards without reservations,/Study/81478,10,1,875.5833333333333,0.15719305656822333,5.9
AL,81563,Quasi-Experimental Design,Meets WWC standards with reservations,/Study/81563,5,0,160.0,,27.8
AL,81638,Randomized controlled trial,Meets WWC standards without reservations,/Study/81638,2,0,148.28571428571428,,6.5
AL,82098,Randomized controlled trial,Meets WWC standards with reservations,/Study/82098,2,0,1580.8571428571427,,2.5
