state_abbr,findings_n,studies_n,interventions_n,weighted_finding_contribution,weighted_outcome_sample,mean_effect_size_wwc,median_effect_size_wwc,pct_positive_effect_size,mean_improvement_index,single_state_rows,multistate_rows,contribution_share_pct,state_name
TX,1067,85,23,247.78495216024285,340051.4582382411,0.13795759515239686,0.0775679641200909,69.58981612446959,4.9765625,0,1067,10.708079177192863,Texas
CA,1000,83,23,209.6920644923552,1837175.5047889126,0.11215099513253003,0.0597245072818717,67.39864864864865,4.943254817987152,0,1000,9.061886970283284,California
NY,820,53,18,186.79588844617913,1706361.1008928085,0.17398727368071576,0.109209251251844,74.90118577075098,6.446115288220551,0,820,8.072423874078615,New York
DC,643,32,6,111.85164241443312,1634327.30982138,0.14694748856424816,0.113353796943252,75.61837455830388,5.599337748344371,0,643,4.833692412032546,District of Columbia
PA,640,40,11,102.3089378967286,154481.48314250348,0.16145068123328016,0.0858775779441676,70.15384615384616,5.966044142614601,0,640,4.421302415588962,Pennsylvania
IL,629,37,11,108.04244328023398,1835548.3733495185,0.17258720550399492,0.10812214673204,66.4756446991404,6.752196836555361,0,629,4.669077064832929,Illinois
GA,569,31,15,89.77356632385703,110204.1098560677,0.1831270025995412,0.14739539906913302,77.59740259740259,7.060661764705882,0,569,3.8795836786455067,Georgia
MA,557,35,11,96.73457892236962,180676.77609122143,0.23175585164289286,0.17494288895807802,80.12820512820514,8.380681818181818,0,557,4.180405312116233,Massachusetts
NC,539,33,8,115.96231091260161,1728165.1960393288,0.12368953491426102,0.0605928529786152,69.7228144989339,4.780821917808219,0,539,5.011335821633605,North Carolina
OH,364,31,11,80.88797830076899,119573.93667785703,0.2746949296791613,0.147830714700587,72.41379310344827,7.940828402366864,0,364,3.4955911106641744,Ohio
MN,327,20,7,53.35712581991652,2023018.850730471,0.0985542412286625,0.078109690696652,64.66431095406361,3.23841059602649,0,327,2.305839490921198,Minnesota
OK,318,8,2,24.112866300366303,22250.26460622711,0.18857132816706212,0.15978838358824848,73.27586206896551,8.090604026845638,0,318,1.0420426231791835,Oklahoma
KY,317,23,9,51.923476136266835,177292.17791162326,0.20331498917094445,0.1568491893677585,75.1937984496124,7.408450704225352,0,317,2.243884016260451,Kentucky
