state_abbr,topic,findings_n
AK,High School Completion,2
AK,K to 12th Grade,60
AK,Literacy,24
AK,STEM,20
AK,Teachers And School Leaders,38
AL,High School Completion,12
AL,K to 12th Grade,68
AL,Literacy,27
AL,Postsecondary,27
AL,STEM,34
AL,SWD,10
AL,Social Emotional Learning And Behavior,30
AL,Teachers And School Leaders,10
AR,High School Completion,12
AR,K to 12th Grade,55
AR,Literacy,26
AR,Postsecondary,22
AR,STEM,30
AR,Social Emotional Learning And Behavior,24
AR,Teachers And School Leaders,8
AZ,ELL,30
AZ,Early Childhood,4
AZ,High School Completion,7
AZ,K to 12th Grade,103
AZ,Literacy,94
AZ,Postsecondary,25
AZ,STEM,23
AZ,Social Emotional Learning And Behavior,9
AZ,Teachers And School Leaders,8
CA,ELL,85
CA,Early Childhood,52
CA,High School Completion,397
CA,K to 12th Grade,720
CA,Literacy,768
CA,Postsecondary,273
CA,STEM,450
CA,SWD,36
CA,Social Emotional Learning And Behavior,308
CA,Teachers And School Leaders,69
CO,ELL,10
CO,High School Completion,151
CO,K to 12th Grade,129
CO,Literacy,168
CO,Postsecondary,3
CO,STEM,83
CO,Social Emotional Learning And Behavior,132
CO,Teachers And School Leaders,28
CT,ELL,7
CT,Early Childhood,14
CT,High School Completion,4
CT,K to 12th Grade,83
CT,Literacy,22
CT,Postsecondary,24
CT,STEM,87
CT,Social Emotional Learning And Behavior,7
CT,Teachers And School Leaders,7
DC,Early Childhood,7
DC,High School Completion,259
DC,K to 12th Grade,164
DC,Literacy,173
DC,Postsecondary,103
DC,STEM,136
DC,Social Emotional Learning And Behavior,165
DC,Teachers And School Leaders,9
DE,Early Childhood,40
DE,K to 12th Grade,3
DE,STEM,11
DE,SWD,33
FL,ELL,32
FL,Early Childhood,70
FL,High School Completion,179
FL,K to 12th Grade,382
FL,Literacy,324
FL,Postsecondary,167
FL,STEM,231
FL,SWD,50
FL,Social Emotional Learning And Behavior,138
FL,Teachers And School Leaders,65
GA,Early Childhood,9
GA,High School Completion,214
GA,K to 12th Grade,189
GA,Literacy,135
GA,Postsecondary,100
GA,STEM,94
GA,SWD,11
GA,Social Emotional Learning And Behavior,152
GA,Teachers And School Leaders,8
HI,K to 12th Grade,30
HI,Literacy,16
HI,Postsecondary,1
HI,STEM,16
HI,Social Emotional Learning And Behavior,24
HI,Teachers And School Leaders,4
IA,High School Completion,118
IA,K to 12th Grade,21
IA,Postsecondary,20
IA,STEM,17
IA,Social Emotional Learning And Behavior,118
IA,Teachers And School Leaders,4
ID,K to 12th Grade,27
ID,Literacy,13
ID,STEM,17
ID,Teachers And School Leaders,4
IL,ELL,39
IL,Early Childhood,33
IL,High School Completion,164
IL,K to 12th Grade,225
IL,Literacy,259
IL,Postsecondary,75
IL,STEM,164
