state_abbr,topic,findings_n
AK,K to 12th Grade,13
AK,STEM,9
AK,Teachers And School Leaders,4
AL,High School Completion,12
AL,K to 12th Grade,58
AL,Literacy,20
AL,Postsecondary,19
AL,STEM,31
AL,Social Emotional Learning And Behavior,24
AL,Teachers And School Leaders,10
AR,High School Completion,12
AR,K to 12th Grade,55
AR,Literacy,26
AR,Postsecondary,17
AR,STEM,30
AR,Social Emotional Learning And Behavior,24
AR,Teachers And School Leaders,8
AZ,ELL,30
AZ,Early Childhood,4
AZ,High School Completion,4
AZ,K to 12th Grade,87
AZ,Literacy,78
AZ,Postsecondary,6
AZ,STEM,20
AZ,Social Emotional Learning And Behavior,9
AZ,Teachers And School Leaders,8
CA,ELL,17
CA,Early Childhood,21
CA,High School Completion,263
CA,K to 12th Grade,282
CA,Literacy,306
CA,Postsecondary,191
CA,STEM,238
CA,SWD,21
CA,Social Emotional Learning And Behavior,245
CA,Teachers And School Leaders,54
CO,ELL,7
CO,High School Completion,151
CO,K to 12th Grade,77
CO,Literacy,89
CO,Postsecondary,2
CO,STEM,60
CO,Social Emotional Learning And Behavior,130
CO,Teachers And School Leaders,16
CT,High School Completion,4
CT,K to 12th Grade,74
CT,Literacy,13
CT,Postsecondary,24
CT,STEM,76
DC,Early Childhood,7
DC,High School Completion,259
DC,K to 12th Grade,164
DC,Literacy,165
DC,Postsecondary,103
DC,STEM,128
DC,Social Emotional Learning And Behavior,165
DC,Teachers And School Leaders,9
DE,Early Childhood,40
DE,STEM,8
DE,SWD,33
FL,ELL,11
FL,Early Childhood,41
FL,High School Completion,86
FL,K to 12th Grade,164
FL,Literacy,78
FL,Postsecondary,86
FL,STEM,94
FL,SWD,33
FL,Social Emotional Learning And Behavior,52
FL,Teachers And School Leaders,57
GA,Early Childhood,9
GA,High School Completion,202
GA,K to 12th Grade,179
GA,Literacy,116
GA,Postsecondary,90
GA,STEM,75
GA,SWD,11
GA,Social Emotional Learning And Behavior,149
GA,Teachers And School Leaders,4
HI,K to 12th Grade,4
HI,Teachers And School Leaders,4
IA,High School Completion,118
IA,K to 12th Grade,21
IA,Postsecondary,6
IA,STEM,17
IA,Social Emotional Learning And Behavior,118
IA,Teachers And School Leaders,4
ID,K to 12th Grade,27
ID,Literacy,6
ID,STEM,17
