source_column,db_column
ReviewID,reviewid
i_InterventionID,i_interventionid
i_Intervention_Name,i_intervention_name
i_Protocol,i_protocol
i_Protocol_Version,i_protocol_version
i_Outcome_Domain,i_outcome_domain
i_NumStudiesMeetingStandards,i_numstudiesmeetingstandards
i_NumStudiesEligible,i_numstudieseligible
i_Demographics_Sample_ELL,i_demographics_sample_ell
i_Demographics_Sample_FRPL,i_demographics_sample_frpl
i_Intervention_Page_URL,i_intervention_page_url
i_Sample_Size_Intervention,i_sample_size_intervention
i_Effectiveness_Rating,i_effectiveness_rating
s_Protocol,s_protocol
s_Protocol_Version,s_protocol_version
s_Standards_Version,s_standards_version
s_Citation,s_citation
s_Intervention_Name,s_intervention_name
s_Study_Design,s_study_design
s_Study_Rating,s_study_rating
s_Demographics_Sample_ELL,s_demographics_sample_ell
s_Demographics_Sample_FRPL,s_demographics_sample_frpl
s_StudyID,s_studyid
s_Publication,s_publication
s_Publication_Date,s_publication_date
s_ProductID,s_productid
s_Product_Name,s_product_name
s_Purpose_of_Review,s_purpose_of_review
s_Study_Page_URL,s_study_page_url
s_Rating_Reason,s_rating_reason
s_Ineligibility_Reason,s_ineligibility_reason
s_interventionID,s_interventionid
s_ERICId,s_ericid
s_Demographics_Sample_Minority,s_demographics_sample_minority
s_Demographics_Sample_Nonminority,s_demographics_sample_nonminority
s_Multisite,s_multisite
s_Posting_Date,s_posting_date
f_FindingID,f_findingid
f_Protocol,f_protocol
f_InterventionID,f_interventionid
f_Intervention_Name,f_intervention_name
f_Comparison,f_comparison
f_Outcome_MeasureID,f_outcome_measureid
f_Outcome_Measure,f_outcome_measure
f_Outcome_Domain,f_outcome_domain
f_Period,f_period
f_Sample_Description,f_sample_description
f_Is_Subgroup,f_is_subgroup
f_Outcome_Sample_Size,f_outcome_sample_size
f_Outcome_Intervention_SS,f_outcome_intervention_ss
f_Outcome_Comparison_SS,f_outcome_comparison_ss
f_Intervention_Clusters_SS,f_intervention_clusters_ss
f_Comparison_Clusters_SS,f_comparison_clusters_ss
f_Intervention_Mean,f_intervention_mean
f_Comparison_Mean,f_comparison_mean
f_Intervention_Standard_Deviation,f_intervention_standard_deviation
f_Comparison_Standard_Deviation,f_comparison_standard_deviation
f_Effect_Size_Study,f_effect_size_study
f_Effect_Size_WWC,f_effect_size_wwc
f_Improvement_Index,f_improvement_index
f_p_Value_Study,f_p_value_study
f_p_Value_WWC,f_p_value_wwc
f_ICC,f_icc
f_Is_Statistically_Significant,f_is_statistically_significant
f_Finding_Rating,f_finding_rating
f_ESSA_Rating,f_essa_rating
f_L1_Unit_of_Analysis,f_l1_unit_of_analysis
f_FavorableUnfavorableDesignation,f_favorableunfavorabledesignation
i_Race,i_race
i_Gender,i_gender
i_Grade,i_grade
i_Ethnicity,i_ethnicity
i_Class_type,i_class_type
i_Delivery_Method,i_delivery_method
i_Program_Type,i_program_type
i_Region_State,i_region_state
i_School_type,i_school_type
i_Urbanicity,i_urbanicity
s_Race,s_race
s_Gender,s_gender
s_Grade,s_grade
s_Ethnicity,s_ethnicity
s_Class_type,s_class_type
s_Delivery_Method,s_delivery_method
s_Program_Type,s_program_type
s_Region_State,s_region_state
s_School_type,s_school_type
s_Urbanicity,s_urbanicity
s_Disability,s_disability
s_Topic,s_topic
