source_column,db_column
ReviewID,reviewid
i_InterventionID,i_interventionid
i_Intervention_Name,i_intervention_name
i_Protocol,i_protocol
i_Protocol_Version,i_protocol_version
i_Outcome_Domain,i_outcome_domain
i_NumStudiesMeetingStandards,i_numstudiesmeetingstandards
i_NumStudiesEligible,i_numstudieseligible
i_Class_type_General,i_class_type_general
i_Class_type_Inclusion,i_class_type_inclusion
i_Delivery_Method_Individual,i_delivery_method_individual
i_Delivery_Method_School,i_delivery_method_school
i_Delivery_Method_Small_Group,i_delivery_method_small_group
i_Delivery_Method_Whole_Class,i_delivery_method_whole_class
i_Demographics_Sample_ELL,i_demographics_sample_ell
i_Demographics_Sample_FRPL,i_demographics_sample_frpl
i_Demographics_Sample_International,i_demographics_sample_international
i_Ethnicity_Hispanic,i_ethnicity_hispanic
i_Ethnicity_Not_Hispanic,i_ethnicity_not_hispanic
i_Gender_Female,i_gender_female
i_Gender_Male,i_gender_male
i_Grade_1,i_grade_1
i_Grade_10,i_grade_10
i_Grade_11,i_grade_11
i_Grade_12,i_grade_12
i_Grade_2,i_grade_2
i_Grade_3,i_grade_3
i_Grade_4,i_grade_4
i_Grade_5,i_grade_5
i_Grade_6,i_grade_6
i_Grade_7,i_grade_7
i_Grade_8,i_grade_8
i_Grade_9,i_grade_9
i_Grade_K,i_grade_k
i_Grade_PK,i_grade_pk
i_Grade_PS,i_grade_ps
i_Program_Type_Curriculum,i_program_type_curriculum
i_Program_Type_Policy,i_program_type_policy
i_Program_Type_Practice,i_program_type_practice
i_Program_Type_School_level,i_program_type_school_level
i_Program_Type_Supplement,i_program_type_supplement
i_Program_Type_Teacher_level,i_program_type_teacher_level
i_Race_Asian,i_race_asian
i_Race_Black,i_race_black
i_Race_Native_American,i_race_native_american
i_Race_Other,i_race_other
i_Race_Pacific_Islander,i_race_pacific_islander
i_Race_White,i_race_white
i_Region_State_Alabama,i_region_state_alabama
i_Region_State_Alaska,i_region_state_alaska
i_Region_State_Arizona,i_region_state_arizona
i_Region_State_Arkansas,i_region_state_arkansas
i_Region_State_California,i_region_state_california
i_Region_State_Colorado,i_region_state_colorado
i_Region_State_Connecticut,i_region_state_connecticut
i_Region_State_Delaware,i_region_state_delaware
i_Region_State_DC,i_region_state_dc
i_Region_State_Florida,i_region_state_florida
i_Region_State_Georgia,i_region_state_georgia
i_Region_State_Hawaii,i_region_state_hawaii
i_Region_State_Idaho,i_region_state_idaho
i_Region_State_Illinois,i_region_state_illinois
i_Region_State_Indiana,i_region_state_indiana
i_Region_State_Iowa,i_region_state_iowa
i_Region_State_Kansas,i_region_state_kansas
i_Region_State_Kentucky,i_region_state_kentucky
i_Region_State_Louisiana,i_region_state_louisiana
i_Region_State_Maine,i_region_state_maine
i_Region_State_Maryland,i_region_state_maryland
i_Region_State_Massachusetts,i_region_state_massachusetts
i_Region_State_Michigan,i_region_state_michigan
i_Region_State_Midwest,i_region_state_midwest
i_Region_State_Minnesota,i_region_state_minnesota
i_Region_State_Mississippi,i_region_state_mississippi
i_Region_State_Missouri,i_region_state_missouri
i_Region_State_Montana,i_region_state_montana
i_Region_State_Nebraska,i_region_state_nebraska
i_Region_State_Nevada,i_region_state_nevada
i_Region_State_New_Hampshire,i_region_state_new_hampshire
i_Region_State_New_Jersey,i_region_state_new_jersey
i_Region_State_New_Mexico,i_region_state_new_mexico
i_Region_State_New_York,i_region_state_new_york
i_Region_State_North_Carolina,i_region_state_north_carolina
i_Region_State_North_Dakota,i_region_state_north_dakota
i_Region_State_Northeast,i_region_state_northeast
i_Region_State_Ohio,i_region_state_ohio
i_Region_State_Oklahoma,i_region_state_oklahoma
i_Region_State_Oregon,i_region_state_oregon
i_Region_State_Pennsylvania,i_region_state_pennsylvania
i_Region_State_Rhode_Island,i_region_state_rhode_island
i_Region_State_South,i_region_state_south
i_Region_State_South_Carolina,i_region_state_south_carolina
