intervention_family,frpl_band,avg_pred_effect
Tutoring,Low FRPL,0.22427195341207606
College Access,Low FRPL,0.09226053731228064
Teacher Support,Low FRPL,0.06489618959623018
Other,Low FRPL,0.03549050790852021
Behavior/SEL,Low FRPL,-0.011516749613055271
Technology-Assisted,Low FRPL,-0.09377210754702532
Tutoring,Mid FRPL,0.24071108444764636
College Access,Mid FRPL,0.1905470498711504
Behavior/SEL,Mid FRPL,0.10054428510762634
Other,Mid FRPL,0.04045080150002032
Teacher Support,Mid FRPL,0.016318843899637555
Technology-Assisted,Mid FRPL,-0.01910215123627971
Tutoring,High FRPL,0.33052653720908937
College Access,High FRPL,0.24982081434533931
Behavior/SEL,High FRPL,0.049899098053413346
Other,High FRPL,0.02339162681969554
Teacher Support,High FRPL,0.014332728013842826
Technology-Assisted,High FRPL,8.72540715549907e-05
