intervention_family,frpl_band,avg_pred_effect
College Access,Low FRPL,0.2857380976372914
Tutoring,Low FRPL,0.2321078837659132
Supplement,Low FRPL,0.060770733189711726
Other,Low FRPL,0.03641249184905381
Behavior/SEL,Low FRPL,0.02191510235714305
Teacher Support,Low FRPL,-0.009628392767164902
Technology-Assisted,Low FRPL,-0.12610007561385206
Curriculum,Mid FRPL,0.49368096082886326
Tutoring,Mid FRPL,0.27067102648942143
Practice,Mid FRPL,0.21761461360331713
Teacher-Level,Mid FRPL,0.15343733684742775
Supplement,Mid FRPL,0.10922702625082743
College Access,Mid FRPL,0.0594626850316338
Technology-Assisted,Mid FRPL,0.056207122635047624
Other,Mid FRPL,0.02832613816607749
Teacher Support,Mid FRPL,0.024360269329557396
Behavior/SEL,Mid FRPL,0.00816560872669373
Tutoring,High FRPL,0.3502517593609533
Teacher-Level,High FRPL,0.08397844937086453
Supplement,High FRPL,0.058076012044906714
Technology-Assisted,High FRPL,0.05532995929638716
Other,High FRPL,0.033390052302270816
Behavior/SEL,High FRPL,-0.015412739039895264
Teacher Support,High FRPL,-0.026436535090166195
Curriculum,High FRPL,-0.19332823910928412
College Access,High FRPL,-0.7851374006555806
