state_abbr,subgroup_label,n_findings,avg_abs_resid,avg_pred,avg_poverty,transport_risk
OK,High Poverty + High EL,1.0,1.0797681555715253,-1.0242727990456526,0.73,1.8679989091387388
WV,High Poverty,3.0,0.9530555680437537,-0.8234805156344923,0.6,0.8803950220203728
RI,High Poverty,2.0,0.6557609813930061,0.6513302043459785,0.71,0.7929150928947233
SC,High Poverty,2.0,0.5540021358245404,-0.3240021358245404,0.62,0.6346166405940485
UT,High EL,1.0,0.5465751041337826,1.3941751041337826,0.095,0.598499739026492
GA,High Poverty + High EL,1.0,0.32305852890537856,-0.13106003654723253,0.75,0.5653524255844125
MS,High Poverty,16.0,0.9742020387601464,-0.838492893611615,0.801875,0.4388475746477347
WV,High EL,9.0,1.0780644200290939,-0.958199571341413,0.215,0.43661609011178304
CO,High Poverty + High EL,22.0,0.9790762488248774,0.8195218143328907,0.9036363636363638,0.39736459313489175
MS,High EL,12.0,0.963313353360134,-0.8531087419015485,0.324,0.36818402620619967
ID,High Poverty,1.0,0.20794949438458868,0.05183611774720334,0.67,0.3472756556222631
WV,General/Mixed,165.0,2.938812381881095,-0.9619314901952951,0.2242909090909091,0.2801009059685492
OK,General/Mixed,177.0,2.9733629656861074,-1.1155484159692357,0.2115367231638418,0.27076833680899914
NC,High Poverty + High EL,1.0,0.14626648753973856,0.045732004818407446,0.75,0.2559663531945425
ME,General/Mixed,164.0,2.671281316083207,-0.6695843124833929,0.15665243902439024,0.24126847574697927
IA,General/Mixed,179.0,2.7927746326082574,-0.9468896941158234,0.1338491620111732,0.23668168853799376
MN,High Poverty,12.0,0.46980636144952964,0.06221448367846122,0.705,0.2312345119355266
ID,High Poverty + High EL,1.0,0.13059011347170146,0.06140837888644454,0.75,0.22853269857547756
MS,General/Mixed,209.0,2.4689469133106035,-0.9120958398292084,0.33622966507177027,0.2282021427501404
MO,High Poverty,10.0,0.41590951543563814,-0.25987437583788187,0.7170000000000001,0.2258235091111407
MI,High EL,10.0,0.5527114150421352,-0.18163193898853386,0.1889999999999999,0.20781662558059708
IN,High Poverty + High EL,1.0,0.11495875392680358,0.3069572462849496,0.75,0.20117781937190626
RI,High EL,13.0,0.5759309691198762,0.5435715104945424,0.192,0.19040353686345707
CT,High Poverty,2.0,0.15530146903161807,0.15087069198459047,0.71,0.18778317441563744
SC,High EL,16.0,0.5348380315303459,-0.39751876053251134,0.24225,0.16610063616714307
ME,High EL,28.0,0.7754170647737737,-0.6713399327768851,0.12178571428571429,0.1643865359224883
OK,High Poverty,166.0,1.2160494960103942,-0.9712302189019605,0.68,0.15856469254304928
NM,High Poverty + High EL,29.0,0.4018594742444533,0.2299145147616221,0.8441379310344828,0.13761589959474405
GA,High EL,18.0,0.48278514625172914,-0.19575197008214051,0.18999999999999997,0.1354143248057256
TN,High Poverty + High EL,39.0,0.48644200437828233,0.08328271308713389,0.7375384615384615,0.13534218780084326
WA,High EL,13.0,0.4143293173147807,0.12235690927425741,0.17415384615384616,0.13492704009232054
SC,General/Mixed,287.0,1.6400715994458506,-0.4312494539697232,0.30881672473867594,0.12670702549736018
DE,High Poverty,3.0,0.12992308591357052,0.10904816310591896,0.62,0.12151802837435786
OR,High Poverty,26.0,0.3588331603650679,0.32922872275857884,0.7265384615384616,0.12150164379527137
FL,High Poverty + High EL,1.0,0.06805919291364665,0.12393929944449936,0.75,0.11910358759888164
KS,General/Mixed,237.0,1.554102216275878,-0.11485973999727885,0.17548945147679326,0.11866540970401289
WY,General/Mixed,14.0,0.35458600270245116,0.3944784006513474,0.23971428571428574,0.11748412204131917
WI,High EL,18.0,0.44157675770733745,0.06327368498660896,0.12344444444444444,0.11692881670329179
HI,General/Mixed,32.0,0.4782157364661476,0.503710912379648,0.31415625,0.1110953493245358
SD,High EL,1.0,0.0932663640173797,0.3379372580144373,0.161,0.10828224862417783
CO,General/Mixed,280.0,1.5851975457252057,0.7232307506773571,0.1407107142857143,0.10806371568622526
MO,General/Mixed,301.0,1.4689569952038286,-0.327637292965464,0.2550531561461794,0.1062644390671988
KS,High Poverty,10.0,0.1916842321906362,-0.035649092592879905,0.7170000000000001,0.10407745999565322
WA,High Poverty,8.0,0.17392120360518726,0.11607969234030982,0.67,0.10268902015523068
VA,High EL,13.0,0.29912967778895755,0.11311126131721186,0.1823846153846154,0.09809493805551428
NJ,High EL,5.0,0.19458359616789458,-0.16618407295523407,0.121,0.09754990165733025
RI,General/Mixed,13.0,0.30007318032900787,0.6159792800048471,0.17184615384615382,0.09752727818180304
NE,High EL,4.0,0.16843443497142274,0.278034635291029,0.127,0.09491280410639671
CO,High EL,71.0,0.6884957901038354,0.7633318867093314,0.1555774647887324,0.09442156157473436
VT,General/Mixed,19.0,0.35296638738288466,0.35739777003649387,0.15789473684210525,0.09376173376041476
MN,General/Mixed,279.0,1.2733833391886513,-0.00038535837479244234,0.18592831541218632,0.090409798254606
MO,High EL,22.0,0.3399482698411743,-0.28247985273719833,0.19136363636363637,0.08634671800368383
TN,High Poverty,18.0,0.20322174344305413,0.15638639305616664,0.77745,0.08513954268611876
MN,High Poverty + High EL,37.0,0.28338366338633986,0.11767488100189981,0.8072972972972974,0.08419834349693568
NC,High Poverty,12.0,0.16879594389619632,0.05902569975378815,0.7141666666666667,0.08352652798376137
WI,General/Mixed,306.0,1.2689634658671474,-0.05894714140932058,0.14298039215686273,0.08291386986812861
MD,High Poverty,77.0,0.39492509491365635,0.10634279063671179,0.7838441558441559,0.08028349648576683
NJ,General/Mixed,332.0,1.2086578523438867,-0.13760409029081833,0.16715963855421687,0.07742203759142642
KY,General/Mixed,351.0,1.1381800935151918,-0.03081286667125782,0.2685384615384615,0.07706568922049024
CA,High Poverty + High EL,42.0,0.2608402664830408,0.10895570399267596,0.873804761904762,0.07541788140860269
GA,General/Mixed,373.0,1.1726494047084683,-0.17809193080826344,0.21744504021447722,0.07392020051225036
IN,High Poverty,19.0,0.18305755614420657,0.34056775908719406,0.7136842105263158,0.07196836807761477
TX,High Poverty + High EL,86.0,0.3616580275714829,0.13216218498509352,0.8001627906976744,0.07020380712313277
LA,General/Mixed,359.0,1.0398148618873775,-0.027206768960734238,0.2570389972144847,0.06898545724321332
MA,High Poverty + High EL,4.0,0.06977310942295735,0.05545378115408531,0.94,0.06767991614026862
AZ,High Poverty,29.0,0.2028225479342083,0.19934296246608577,0.7517241379310345,0.06597553940453674
IL,High Poverty + High EL,33.0,0.20438904290485357,0.05968165450482535,0.8351515151515151,0.06529389352090288
OR,General/Mixed,371.0,1.0551930169097048,0.24134496625904817,0.162544474393531,0.06368754818576194
DC,General/Mixed,390.0,0.9870643549471628,-0.06574982883187887,0.2653128205128205,0.06324279770696482
AL,High Poverty,10.0,0.11431839537255521,0.22817881975435883,0.7170000000000001,0.06207066739491367
NA,High Poverty + High EL,259.0,0.5171983500493436,0.032994980469787424,0.82946138996139,0.05879366006041318
MI,General/Mixed,433.0,0.9793853158603503,-0.14981474343033924,0.2381408775981524,0.05827465382022519
IL,General/Mixed,413.0,0.982507966838909,-0.023851381811030598,0.17344794188861987,0.0567315804376215
OH,High Poverty,40.0,0.18877583380073454,0.15120713838827293,0.8855000000000001,0.05627855502927796
OH,High EL,11.0,0.1565884700518781,0.062431322845461316,0.18854545454545454,0.05611503443367903
